Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
28,29,5,5,23,24,4,train/00004_00044_00003.png
51,48,5,5,45,43,28,train/10787.png
37,38,6,5,32,32,3,train/00003_00002_00013.png
39,37,6,5,34,32,25,train/00025_00042_00009.png
43,44,5,6,38,39,9,train/00009_00021_00011.png
53,54,5,6,48,49,12,train/00012_00005_00011.png
52,50,6,5,46,45,35,train/00035_00015_00019.png
27,28,5,5,22,23,13,train/00013_00003_00001.png
60,67,6,6,54,61,2,train/00002_00050_00029.png
40,41,5,6,35,36,3,train/00003_00004_00016.png
35,32,6,5,30,27,11,train/00011_00017_00009.png
88,82,7,8,81,75,25,train/00025_00042_00025.png
70,74,7,7,64,67,4,train/00004_00050_00029.png
176,175,16,15,161,160,12,train/00012_00036_00029.png
53,53,5,5,48,48,14,train/08994.png
34,33,6,5,29,28,4,train/00004_00022_00010.png
52,53,5,6,47,48,3,train/00003_00020_00026.png
55,62,6,6,50,57,2,train/10334.png
44,44,6,6,39,39,9,train/00009_00021_00013.png
38,40,5,6,33,35,1,train/05333.png
43,40,5,5,38,35,10,train/00010_00060_00020.png
28,30,5,5,23,25,5,train/00005_00056_00003.png
57,51,6,5,52,46,26,train/00026_00011_00013.png
28,29,5,6,23,24,10,train/00010_00030_00003.png
28,34,5,6,23,28,17,train/00017_00000_00018.png
56,49,6,5,50,43,11,train/00011_00038_00008.png
36,35,6,6,30,29,26,train/00026_00009_00009.png
31,32,5,6,26,27,2,train/00002_00055_00006.png
84,85,7,8,77,78,7,train/02567.png
70,73,7,7,64,67,9,train/00009_00022_00027.png
40,40,5,5,35,35,16,train/06827.png
49,49,6,6,44,44,4,train/00004_00028_00023.png
55,57,5,6,50,51,1,train/00001_00017_00020.png
43,46,5,5,38,41,4,train/00004_00017_00024.png
40,39,6,5,35,34,18,train/00018_00013_00001.png
43,39,6,6,37,33,11,train/04021.png
54,54,6,6,49,49,24,train/02611.png
95,107,8,10,87,98,14,train/00014_00010_00021.png
44,50,5,6,38,44,35,train/12610.png
54,56,6,6,49,51,3,train/00003_00010_00021.png
61,61,6,6,56,56,1,train/00001_00047_00022.png
80,81,7,8,73,74,1,train/00001_00072_00023.png
64,69,5,7,59,63,12,train/00012_00002_00021.png
36,38,5,6,31,33,18,train/00018_00012_00001.png
42,42,5,5,37,37,12,train/00012_00030_00022.png
31,31,6,6,26,26,2,train/00002_00018_00008.png
38,38,5,6,33,33,7,train/00007_00010_00011.png
55,57,5,6,50,52,9,train/06762.png
42,42,5,5,37,37,7,train/01299.png
36,35,5,6,30,29,25,train/00025_00005_00004.png
99,108,9,9,91,99,38,train/00038_00057_00028.png
41,42,5,6,36,36,20,train/04186.png
35,31,5,6,30,26,10,train/00010_00032_00011.png
31,28,5,5,26,23,3,train/00003_00024_00012.png
29,38,5,6,24,33,17,train/00017_00013_00012.png
40,37,6,5,35,32,28,train/00028_00003_00008.png
34,31,5,5,29,26,29,train/00029_00005_00002.png
34,34,5,5,29,29,12,train/00012_00054_00004.png
45,45,5,5,40,40,4,train/00004_00030_00017.png
48,47,5,5,43,42,1,train/05580.png
46,45,6,5,40,39,1,train/00001_00016_00014.png
29,30,5,5,24,25,6,train/00006_00006_00007.png
46,47,5,6,41,42,8,train/00008_00019_00015.png
43,52,5,6,37,47,13,train/08496.png
92,87,8,8,84,79,2,train/00002_00009_00023.png
53,54,6,6,48,49,5,train/00005_00011_00019.png
30,32,5,6,25,26,38,train/05707.png
49,56,6,6,44,51,1,train/02835.png
28,27,6,5,23,22,12,train/00012_00028_00000.png
113,124,10,10,103,114,7,train/00007_00002_00027.png
44,44,6,6,39,39,8,train/00008_00008_00020.png
32,30,6,5,27,25,25,train/00025_00002_00005.png
50,52,5,5,45,47,6,train/07383.png
106,97,9,8,96,89,25,train/00025_00030_00025.png
29,29,5,5,24,24,36,train/00036_00003_00006.png
33,33,5,6,28,28,15,train/03003.png
48,42,6,5,43,37,26,train/00026_00005_00016.png
27,25,6,5,22,20,23,train/00023_00012_00003.png
52,50,5,6,47,45,31,train/00031_00007_00022.png
56,53,5,6,51,48,18,train/00018_00011_00020.png
26,27,5,6,21,22,2,train/00002_00040_00006.png
100,120,9,11,92,110,15,train/00015_00018_00013.png
81,74,8,7,74,68,20,train/11768.png
27,28,5,6,22,23,38,train/00038_00026_00002.png
33,34,6,6,28,29,7,train/00007_00000_00011.png
33,33,6,6,28,28,5,train/11876.png
37,36,6,5,32,31,5,train/00005_00052_00013.png
36,31,6,6,31,26,24,train/00024_00004_00006.png
68,69,7,7,62,63,9,train/00009_00028_00020.png
57,53,5,5,52,48,11,train/00011_00010_00009.png
28,28,5,5,23,23,37,train/00037_00003_00001.png
72,77,6,7,66,71,15,train/04166.png
46,46,5,5,40,40,7,train/00007_00045_00019.png
80,74,8,7,73,68,13,train/00013_00061_00017.png
94,93,8,8,85,84,33,train/00033_00002_00026.png
35,35,6,6,30,30,10,train/00010_00050_00009.png
56,54,6,5,50,49,16,train/00016_00013_00014.png
31,30,5,6,26,25,22,train/00022_00001_00003.png
28,29,5,6,23,24,2,train/00002_00058_00008.png
36,37,6,6,31,32,17,train/00017_00022_00003.png
38,38,5,5,33,33,16,train/02968.png
37,36,6,5,32,31,18,train/00018_00037_00001.png
42,39,5,5,36,34,1,train/00001_00050_00010.png
86,85,8,7,79,78,39,train/00039_00000_00005.png
69,74,7,6,63,68,25,train/06385.png
47,54,5,5,42,49,13,train/00013_00035_00007.png
74,74,6,6,68,68,12,train/00012_00026_00025.png
86,80,8,7,79,73,31,train/00031_00001_00029.png
54,55,5,6,49,49,9,train/00009_00016_00020.png
42,44,6,5,37,39,7,train/00007_00019_00018.png
34,34,6,5,29,29,7,train/00007_00035_00008.png
30,29,5,6,25,24,31,train/00031_00010_00002.png
39,41,5,6,34,35,17,train/00017_00003_00021.png
92,92,9,9,84,84,17,train/00017_00019_00029.png
67,65,6,6,61,60,38,train/00038_00036_00017.png
63,62,5,5,58,57,5,train/00005_00057_00029.png
49,43,6,5,43,38,28,train/00028_00004_00016.png
82,74,8,7,75,68,18,train/00018_00039_00024.png
87,82,7,8,80,75,18,train/00018_00005_00008.png
61,60,5,6,56,55,25,train/00025_00028_00013.png
111,110,10,9,102,101,22,train/00022_00002_00027.png
55,54,5,5,50,49,10,train/00010_00040_00025.png
31,32,5,5,26,27,4,train/07253.png
34,35,6,5,29,30,17,train/00017_00026_00019.png
86,86,8,8,79,79,38,train/00038_00029_00029.png
96,83,8,8,88,76,11,train/00011_00014_00026.png
33,34,5,6,28,29,10,train/00010_00008_00007.png
43,43,6,5,38,38,17,train/00017_00023_00021.png
27,29,5,6,22,24,32,train/00032_00004_00003.png
36,37,5,6,31,32,1,train/00001_00019_00014.png
47,50,6,6,42,45,9,train/00009_00038_00022.png
41,41,6,6,36,36,2,train/01498.png
44,45,5,6,39,40,5,train/06187.png
29,48,5,6,23,42,14,train/08475.png
38,38,6,6,33,33,8,train/00008_00029_00011.png
47,43,6,6,42,38,31,train/00031_00014_00009.png
37,37,6,6,32,32,7,train/00007_00032_00008.png
88,89,7,8,80,82,1,train/00001_00022_00026.png
30,30,5,5,25,25,25,train/00025_00042_00000.png
87,81,7,8,80,73,11,train/00011_00003_00023.png
38,38,6,5,33,33,38,train/00038_00061_00001.png
57,63,5,5,52,58,38,train/00038_00060_00025.png
30,30,6,6,25,25,2,train/00002_00050_00009.png
84,80,8,7,77,73,13,train/00013_00046_00025.png
71,73,6,7,65,67,1,train/00001_00032_00023.png
62,76,5,7,57,70,12,train/00012_00032_00025.png
36,35,6,6,31,29,18,train/00018_00021_00012.png
56,59,6,6,51,54,16,train/00016_00000_00005.png
32,31,6,5,27,26,34,train/00034_00009_00002.png
37,40,6,6,32,34,12,train/00012_00011_00002.png
37,35,5,5,31,30,22,train/03702.png
135,120,12,10,123,109,18,train/00018_00010_00027.png
44,48,6,6,38,42,17,train/00017_00031_00023.png
61,62,6,5,56,57,28,train/00028_00013_00015.png
86,94,7,8,79,86,38,train/00038_00007_00027.png
41,40,5,5,36,35,5,train/00005_00054_00021.png
48,46,5,5,43,41,2,train/10340.png
32,30,5,6,26,24,18,train/00018_00009_00005.png
48,46,6,6,43,41,13,train/00013_00028_00004.png
38,37,6,5,33,32,1,train/00001_00049_00011.png
48,50,5,6,43,45,6,train/00006_00000_00019.png
61,57,5,6,56,52,25,train/00025_00014_00020.png
77,74,7,7,71,68,13,train/10500.png
43,45,5,6,38,40,4,train/00004_00065_00021.png
46,37,6,5,41,32,13,train/00231.png
117,109,10,9,107,100,34,train/00433.png
32,30,6,6,27,25,13,train/08511.png
40,37,6,5,35,32,11,train/00011_00041_00009.png
27,26,6,5,22,21,8,train/00008_00025_00001.png
41,46,5,6,36,41,5,train/02904.png
33,33,6,6,28,28,6,train/06324.png
35,36,6,5,29,30,1,train/00001_00061_00005.png
64,68,6,7,59,62,39,train/00039_00007_00012.png
60,61,5,6,55,56,9,train/10626.png
42,41,6,6,37,35,11,train/00011_00039_00016.png
29,30,5,5,24,25,4,train/01332.png
39,38,6,5,34,33,4,train/00218.png
37,37,5,5,32,32,1,train/00001_00010_00014.png
59,53,6,6,53,48,21,train/04086.png
33,34,5,5,28,29,9,train/11348.png
30,29,6,5,25,24,36,train/00036_00009_00008.png
31,29,5,6,25,23,18,train/00018_00016_00004.png
36,37,5,6,31,32,9,train/00009_00022_00010.png
39,37,6,5,34,32,32,train/00032_00001_00019.png
30,31,5,6,25,26,4,train/00004_00059_00005.png
84,85,7,8,77,78,2,train/00002_00060_00021.png
43,42,6,6,37,37,9,train/00009_00037_00013.png
55,49,6,5,50,44,18,train/00018_00009_00028.png
41,41,5,5,36,36,9,train/00009_00039_00000.png
54,59,5,6,49,54,25,train/00025_00003_00000.png
55,55,5,5,50,50,4,train/00004_00065_00026.png
30,29,5,6,25,24,31,train/00031_00024_00001.png
28,28,6,6,23,23,6,train/10194.png
50,50,6,6,45,45,32,train/00032_00007_00024.png
93,82,8,8,85,75,28,train/00028_00009_00027.png
37,36,6,5,32,31,8,train/00008_00010_00010.png
36,36,6,6,31,31,16,train/00016_00011_00016.png
49,64,5,5,44,58,33,train/00865.png
33,31,6,5,27,26,8,train/00008_00007_00004.png
46,44,5,6,41,39,23,train/00023_00013_00008.png
49,49,5,5,44,44,4,train/00004_00019_00016.png
98,100,8,9,90,92,37,train/00037_00005_00026.png
93,98,8,8,85,90,26,train/02708.png
53,52,6,5,48,47,1,train/00001_00004_00006.png
63,62,6,5,58,57,5,train/00005_00050_00028.png
38,38,5,5,33,33,2,train/00002_00044_00013.png
29,30,6,5,24,25,6,train/00006_00005_00007.png
40,43,5,6,35,38,12,train/00012_00063_00017.png
61,57,6,6,56,51,25,train/00025_00015_00016.png
95,87,8,8,86,79,11,train/00011_00029_00022.png
32,33,5,6,27,28,4,train/00004_00041_00005.png
33,34,5,5,28,28,10,train/05059.png
49,47,5,5,44,42,25,train/00025_00028_00006.png
51,53,6,6,46,48,8,train/00008_00016_00025.png
37,38,6,6,31,33,33,train/00033_00019_00024.png
42,42,5,5,37,37,4,train/09691.png
36,36,6,5,31,31,31,train/00031_00005_00009.png
31,32,6,5,26,27,3,train/00003_00021_00004.png
70,70,7,7,64,64,1,train/00001_00020_00021.png
54,47,6,5,49,42,21,train/00021_00002_00021.png
88,76,7,6,81,70,23,train/00023_00007_00029.png
35,37,6,6,30,32,17,train/00017_00007_00015.png
31,30,5,5,25,25,35,train/07307.png
50,49,6,5,45,44,12,train/00012_00030_00025.png
45,46,5,6,40,41,4,train/04839.png
64,68,6,6,58,61,38,train/00038_00007_00023.png
53,47,6,5,47,42,25,train/00025_00030_00002.png
93,87,9,8,85,80,12,train/01343.png
62,59,5,5,57,53,13,train/00013_00010_00019.png
79,80,7,8,72,73,33,train/00033_00011_00025.png
31,33,5,6,26,28,18,train/03172.png
43,44,6,6,38,39,38,train/12197.png
30,28,5,5,24,22,10,train/00855.png
97,85,9,7,89,78,18,train/00018_00033_00021.png
46,43,5,6,41,38,31,train/00031_00012_00013.png
52,50,6,6,47,45,31,train/00031_00003_00018.png
110,97,9,8,101,88,25,train/00025_00007_00026.png
27,28,6,6,22,23,12,train/00012_00063_00000.png
52,51,5,5,47,46,2,train/00002_00007_00021.png
34,34,6,6,29,29,25,train/00025_00009_00011.png
40,38,6,5,34,33,15,train/00015_00017_00010.png
73,76,7,6,67,70,40,train/00040_00007_00026.png
49,49,5,5,44,44,2,train/00002_00059_00011.png
41,44,5,6,36,38,7,train/10595.png
58,61,6,5,52,55,3,train/00003_00031_00024.png
31,31,5,5,26,26,3,train/00003_00012_00005.png
44,43,5,5,39,38,13,train/09198.png
29,29,5,5,24,24,2,train/00002_00047_00008.png
31,31,6,6,26,26,2,train/04573.png
35,35,6,6,30,30,9,train/00009_00047_00009.png
29,30,5,6,24,25,39,train/00039_00006_00003.png
35,36,5,6,30,31,8,train/10788.png
68,70,6,6,62,64,3,train/00003_00007_00028.png
37,35,5,5,32,30,2,train/00002_00024_00012.png
29,29,5,5,24,24,39,train/00039_00004_00004.png
105,89,10,8,96,82,28,train/00028_00002_00024.png
37,37,5,5,32,32,1,train/00001_00019_00015.png
28,30,5,6,23,25,3,train/00003_00044_00002.png
56,57,6,6,51,52,12,train/00012_00065_00013.png
29,30,5,6,24,25,2,train/00412.png
36,32,6,5,31,27,22,train/00022_00005_00005.png
33,34,5,6,28,29,7,train/00007_00025_00010.png
81,80,8,7,73,72,12,train/00012_00014_00025.png
53,57,6,6,48,52,3,train/08390.png
70,69,7,6,64,63,18,train/00018_00032_00017.png
50,51,5,6,44,45,12,train/02257.png
32,32,6,5,27,27,7,train/11610.png
82,81,7,7,74,74,34,train/00034_00004_00023.png
64,64,5,5,59,59,17,train/00017_00022_00023.png
94,87,8,7,86,80,26,train/00026_00006_00028.png
32,32,5,5,27,27,5,train/00005_00052_00005.png
70,61,6,6,64,56,13,train/06225.png
50,48,6,6,45,42,28,train/00028_00014_00014.png
50,50,5,5,44,44,8,train/00008_00022_00021.png
37,37,6,5,32,32,5,train/00005_00048_00008.png
42,42,5,5,37,37,1,train/00001_00014_00018.png
54,48,6,5,49,43,13,train/00013_00017_00010.png
62,55,6,6,57,50,11,train/00011_00023_00022.png
29,27,5,5,23,22,5,train/06498.png
31,33,5,5,26,28,38,train/00038_00064_00009.png
44,44,5,6,38,39,2,train/00002_00017_00017.png
68,61,6,6,62,56,13,train/00013_00044_00022.png
26,27,5,6,21,22,13,train/07244.png
39,36,6,5,34,31,28,train/00028_00015_00013.png
29,29,5,5,24,24,7,train/10400.png
44,48,5,5,38,42,16,train/00016_00009_00024.png
43,46,6,5,38,41,38,train/00038_00043_00012.png
49,50,5,6,44,45,18,train/00018_00032_00005.png
36,36,6,6,31,31,7,train/00007_00011_00004.png
75,76,7,6,69,70,35,train/00035_00000_00023.png
142,140,12,13,130,128,4,train/00004_00005_00029.png
34,36,6,6,29,31,7,train/00007_00009_00011.png
40,38,5,5,35,33,38,train/00038_00009_00010.png
35,35,6,6,30,30,5,train/00005_00030_00010.png
56,56,5,5,51,51,8,train/01085.png
28,29,6,5,23,24,38,train/02001.png
27,27,5,5,22,22,2,train/08963.png
61,61,5,5,56,56,2,train/00002_00043_00027.png
50,50,5,5,45,45,2,train/00002_00028_00026.png
75,120,6,10,69,110,38,train/00038_00052_00027.png
62,65,6,6,56,60,5,train/00005_00058_00025.png
49,52,5,6,44,46,5,train/00005_00002_00029.png
64,62,6,6,59,57,10,train/00010_00050_00029.png
26,27,5,6,21,22,13,train/00013_00000_00001.png
43,40,6,5,38,35,12,train/00012_00058_00005.png
74,70,7,7,68,64,23,train/00023_00001_00005.png
98,89,9,8,90,82,21,train/00021_00009_00026.png
46,47,5,6,41,42,3,train/00003_00001_00024.png
32,32,5,6,27,27,10,train/00010_00002_00003.png
47,47,5,5,42,42,10,train/00010_00059_00018.png
156,156,13,13,143,142,14,train/08965.png
64,61,5,6,59,56,11,train/00011_00018_00017.png
32,34,5,6,27,29,7,train/07061.png
26,29,5,6,21,24,17,train/07674.png
36,37,6,6,31,32,38,train/00038_00035_00012.png
34,35,5,5,29,29,1,train/00001_00027_00009.png
63,53,5,5,58,48,13,train/10951.png
69,62,7,5,63,57,10,train/00010_00031_00028.png
33,38,5,6,28,32,5,train/00005_00060_00017.png
34,35,5,6,28,30,2,train/11327.png
60,61,5,6,55,56,14,train/00014_00016_00013.png
27,29,6,6,22,24,17,train/00017_00008_00003.png
49,49,5,5,44,44,12,train/00012_00031_00013.png
32,31,6,5,27,26,22,train/02893.png
29,30,5,5,24,25,38,train/00038_00060_00002.png
47,44,5,5,42,38,11,train/00011_00020_00013.png
43,43,5,6,38,38,7,train/00007_00025_00016.png
158,156,13,14,145,143,13,train/00013_00035_00028.png
41,41,6,6,36,36,35,train/00035_00026_00012.png
32,30,6,5,27,25,2,train/00002_00032_00005.png
73,68,7,7,67,62,24,train/00024_00003_00014.png
132,123,11,11,120,113,11,train/10010.png
51,56,6,5,45,50,35,train/04378.png
29,30,5,6,24,25,9,train/00009_00034_00007.png
32,32,6,5,27,26,14,train/00014_00021_00002.png
34,30,5,5,29,25,26,train/00026_00006_00007.png
59,60,5,6,53,54,1,train/00001_00057_00026.png
40,40,6,6,35,35,4,train/08401.png
48,48,6,6,43,43,18,train/00018_00032_00002.png
54,72,5,6,48,66,13,train/05775.png
29,28,6,5,24,23,4,train/02028.png
39,41,5,6,34,36,38,train/00038_00058_00004.png
53,45,6,5,48,40,22,train/00022_00001_00021.png
28,28,5,5,23,23,9,train/00009_00005_00003.png
44,44,5,5,39,39,10,train/00010_00012_00022.png
51,48,5,6,46,43,13,train/00013_00014_00008.png
38,42,6,6,33,37,15,train/00015_00007_00018.png
46,42,6,6,40,37,31,train/00031_00014_00008.png
29,25,6,5,23,20,22,train/00022_00008_00002.png
109,103,10,9,100,94,21,train/00021_00009_00027.png
108,97,9,8,99,89,31,train/00031_00009_00028.png
103,105,9,9,94,96,12,train/00012_00009_00029.png
44,44,6,6,39,39,7,train/00007_00035_00019.png
42,43,5,5,37,38,33,train/00033_00001_00018.png
88,87,8,7,81,80,12,train/00012_00026_00026.png
39,40,6,6,34,35,10,train/00010_00003_00018.png
130,110,11,9,119,101,11,train/00011_00027_00028.png
32,32,6,5,27,27,42,train/00042_00007_00009.png
36,36,5,6,31,31,5,train/00005_00054_00011.png
34,32,5,6,29,27,24,train/00024_00000_00010.png
93,93,9,9,85,85,16,train/00016_00006_00014.png
29,27,6,5,23,22,42,train/00042_00000_00001.png
48,47,6,5,43,42,3,train/00003_00020_00023.png
30,31,5,5,25,26,17,train/00017_00033_00013.png
40,41,5,6,35,36,38,train/00038_00059_00008.png
52,50,6,6,47,45,4,train/00004_00053_00016.png
74,71,6,6,68,65,31,train/10942.png
55,52,5,6,50,47,18,train/00018_00021_00021.png
61,61,5,5,56,56,18,train/00018_00022_00008.png
28,28,6,6,22,23,18,train/11809.png
35,36,6,6,30,31,17,train/02303.png
35,31,5,5,30,26,30,train/00030_00014_00009.png
52,46,6,5,47,41,22,train/02578.png
72,63,7,5,66,57,28,train/00028_00015_00024.png
31,32,6,6,26,26,1,train/08436.png
31,47,6,6,26,42,11,train/00011_00028_00024.png
48,48,6,6,43,43,4,train/03683.png
31,31,5,5,26,26,3,train/00003_00042_00004.png
137,147,12,12,126,134,9,train/00009_00045_00029.png
34,33,6,6,29,28,2,train/00002_00051_00006.png
35,32,6,6,29,27,29,train/00029_00006_00008.png
37,40,5,6,32,35,7,train/00007_00047_00021.png
43,43,6,6,37,37,1,train/00001_00022_00014.png
43,47,6,6,37,42,39,train/02814.png
34,34,6,5,29,29,7,train/00007_00008_00008.png
84,74,8,7,77,68,28,train/00028_00001_00026.png
52,53,5,6,47,48,1,train/00001_00057_00024.png
36,38,5,6,31,33,1,train/00001_00067_00005.png
34,35,5,5,29,30,3,train/00003_00002_00009.png
41,42,5,6,36,37,2,train/01615.png
28,29,5,5,23,24,2,train/00937.png
49,48,5,5,44,43,12,train/00012_00005_00006.png
106,105,9,9,97,96,25,train/00025_00046_00029.png
57,55,6,5,52,50,5,train/00005_00036_00025.png
42,41,6,6,36,35,35,train/00035_00029_00006.png
28,28,6,5,23,22,5,train/00005_00035_00002.png
68,70,7,6,62,64,12,train/00012_00045_00017.png
62,61,6,6,57,56,23,train/00023_00016_00022.png
36,35,6,5,31,30,9,train/00009_00001_00014.png
77,86,7,8,71,79,3,train/12557.png
67,69,6,7,61,63,35,train/00035_00013_00024.png
39,41,5,6,34,36,38,train/00038_00046_00019.png
89,91,8,8,82,83,25,train/00025_00016_00029.png
54,53,6,6,49,48,11,train/00011_00004_00015.png
32,32,6,5,27,27,8,train/00008_00012_00000.png
46,44,6,5,41,39,0,train/00000_00000_00016.png
28,27,6,5,22,22,2,train/00002_00008_00001.png
130,131,11,11,119,119,39,train/00039_00000_00021.png
38,36,6,5,33,31,5,train/06984.png
76,75,6,6,70,69,32,train/00032_00006_00029.png
65,66,5,6,59,60,2,train/00002_00073_00026.png
39,42,5,6,34,37,6,train/09447.png
54,52,6,5,49,47,38,train/00038_00063_00022.png
38,39,6,5,33,34,10,train/00010_00027_00013.png
117,104,11,9,107,95,25,train/00025_00047_00020.png
64,59,6,6,59,54,29,train/09408.png
63,57,5,6,58,52,13,train/00013_00053_00015.png
87,95,8,9,79,86,14,train/00014_00019_00021.png
30,30,5,6,25,25,1,train/00001_00064_00007.png
28,28,6,6,23,23,6,train/00006_00013_00002.png
56,58,5,6,50,53,5,train/00005_00061_00026.png
82,81,7,8,75,74,4,train/00004_00025_00025.png
56,51,5,5,51,46,23,train/11068.png
30,32,5,6,25,27,38,train/00038_00013_00010.png
46,43,6,6,41,38,10,train/00010_00002_00025.png
45,46,5,6,40,41,1,train/00001_00048_00017.png
37,36,6,5,32,31,12,train/00012_00019_00011.png
36,35,6,6,31,29,10,train/00010_00037_00015.png
38,38,6,6,32,33,35,train/00035_00027_00012.png
96,94,9,9,88,86,9,train/10031.png
28,28,6,6,23,23,32,train/00032_00000_00001.png
55,54,6,5,50,49,5,train/06260.png
45,46,5,6,40,41,2,train/00002_00056_00018.png
36,38,6,6,31,33,4,train/02430.png
41,39,5,5,36,34,11,train/00011_00040_00008.png
27,26,6,5,21,20,8,train/00008_00030_00001.png
73,74,6,7,67,68,37,train/07925.png
46,46,6,5,41,41,35,train/00035_00019_00023.png
51,50,6,5,46,45,5,train/10201.png
46,46,5,5,41,41,5,train/00005_00057_00021.png
33,36,6,5,28,31,33,train/06492.png
74,69,6,6,68,63,21,train/00021_00006_00025.png
28,27,6,5,23,22,1,train/09538.png
28,27,6,5,22,22,11,train/00011_00030_00003.png
75,75,6,6,69,69,2,train/00002_00045_00029.png
72,70,6,6,66,64,27,train/00027_00004_00026.png
45,46,5,6,40,41,16,train/05128.png
56,59,6,5,51,54,7,train/00007_00015_00022.png
48,53,6,6,43,48,5,train/00005_00038_00022.png
43,39,6,6,38,34,13,train/00013_00061_00000.png
39,40,5,6,34,35,21,train/08984.png
47,50,6,6,42,45,8,train/00008_00000_00020.png
45,46,6,5,40,41,38,train/00038_00009_00017.png
27,27,6,5,22,22,38,train/00038_00013_00001.png
49,48,5,6,44,43,18,train/10469.png
61,52,5,5,56,47,21,train/00021_00008_00014.png
39,40,6,6,33,34,38,train/00038_00003_00003.png
42,42,5,5,37,37,15,train/00015_00017_00015.png
27,25,5,5,22,20,5,train/00005_00037_00001.png
26,26,5,5,21,21,9,train/03011.png
29,32,6,5,24,27,25,train/06155.png
28,27,6,5,23,22,4,train/00004_00063_00006.png
